Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-04-22 19:00:00+00:00,4759.0,4764.39990234375,4755.7998046875,4761.0,2597
2026-04-22 20:00:00+00:00,4758.2998046875,4759.89990234375,4753.10009765625,4759.39990234375,1469
2026-04-22 22:00:00+00:00,4743.2001953125,4763.60009765625,4742.7998046875,4759.2001953125,0
2026-04-22 23:00:00+00:00,4745.0,4746.7998046875,4740.60009765625,4743.5,1522
2026-04-23 00:00:00+00:00,4765.5,4771.2998046875,4710.39990234375,4745.0,10234
2026-04-23 01:00:00+00:00,4739.39990234375,4767.5,4738.39990234375,4765.2998046875,5136
2026-04-23 02:00:00+00:00,4714.39990234375,4740.89990234375,4714.0,4738.89990234375,7317
2026-04-23 03:00:00+00:00,4720.0,4724.7998046875,4713.89990234375,4715.0,3744
2026-04-23 04:00:00+00:00,4720.10009765625,4722.7001953125,4714.2998046875,4719.0,1732
2026-04-23 05:00:00+00:00,4729.0,4731.10009765625,4705.7001953125,4719.60009765625,4441
2026-04-23 06:00:00+00:00,4730.10009765625,4739.0,4724.89990234375,4729.60009765625,6633
2026-04-23 07:00:00+00:00,4736.10009765625,4737.39990234375,4719.39990234375,4729.89990234375,7533
2026-04-23 08:00:00+00:00,4719.60009765625,4742.10009765625,4717.7998046875,4735.60009765625,3698
2026-04-23 09:00:00+00:00,4713.5,4720.0,4710.7001953125,4719.39990234375,5481
2026-04-23 10:00:00+00:00,4712.60009765625,4717.89990234375,4700.0,4713.5,5975
2026-04-23 11:00:00+00:00,4737.39990234375,4737.7998046875,4711.2998046875,4712.7998046875,5336
2026-04-23 12:00:00+00:00,4757.7001953125,4761.7001953125,4736.2998046875,4737.10009765625,13049
2026-04-23 13:00:00+00:00,4742.0,4759.10009765625,4740.7998046875,4758.10009765625,8964
2026-04-23 14:00:00+00:00,4750.60009765625,4754.0,4733.89990234375,4741.5,8547
2026-04-23 15:00:00+00:00,4737.2998046875,4758.2001953125,4733.2998046875,4750.89990234375,6561
2026-04-23 16:00:00+00:00,4749.7998046875,4754.10009765625,4732.5,4737.60009765625,4678
2026-04-23 17:00:00+00:00,4725.60009765625,4751.7001953125,4680.10009765625,4750.10009765625,24253
2026-04-23 18:00:00+00:00,4717.2001953125,4738.7001953125,4714.89990234375,4726.10009765625,5972
2026-04-23 19:00:00+00:00,4712.7998046875,4720.60009765625,4705.5,4717.10009765625,4501
2026-04-23 20:00:00+00:00,4708.60009765625,4714.7998046875,4702.7001953125,4712.5,1786
2026-04-23 22:00:00+00:00,4708.5,4719.7998046875,4705.2998046875,4715.60009765625,0
2026-04-23 23:00:00+00:00,4710.7998046875,4716.10009765625,4702.0,4708.7001953125,1374
2026-04-24 00:00:00+00:00,4719.7998046875,4723.10009765625,4706.2998046875,4711.7001953125,2269
